 3.093 	 4.234 	 0.852 	 0.852 	0
 4.985 	 5.941 	 0.852 	 0.852 	0
 5.302 	 4.543 	 0.852 	 0.852 	0
 4.744 	 4.108 	 0.852 	 0.852 	0
 3.791 	 3.392 	 0.852 	 0.852 	0
 4.991 	 3.826 	 0.852 	 0.852 	0
 4.283 	 3.681 	 0.852 	 0.852 	0
 4.213 	 5.699 	 0.852 	 0.852 	0
 5.634 	 4.178 	 0.852 	 0.852 	0
 4.583 	 3.435 	 0.852 	 0.852 	0
 3.330 	 3.940 	 0.852 	 0.852 	0
 4.114 	 4.754 	 0.852 	 0.852 	0
 4.679 	 6.393 	 0.852 	 0.852 	0
 3.742 	 4.278 	 0.852 	 0.852 	0
 6.361 	 4.721 	 0.852 	 0.852 	0
 4.550 	 5.283 	 0.852 	 0.852 	0
 3.482 	 4.553 	 0.852 	 0.852 	0
 5.921 	 5.046 	 0.852 	 0.852 	0
 3.745 	 5.115 	 0.852 	 0.852 	0
 3.961 	 3.134 	 0.852 	 0.852 	0
0	0	0	0	0
